node_id,node_type
user_2,user
user_275,user
user_428,user
user_515,user
user_761,user
user_831,user
user_909,user
user_1209,user
user_1210,user
user_1230,user
user_1327,user
user_1585,user
user_1625,user
user_1869,user
user_3,user
user_78,user
user_255,user
user_460,user
user_837,user
user_1740,user
user_1801,user
user_1975,user
user_4,user
user_99,user
user_124,user
user_211,user
user_264,user
user_493,user
user_520,user
user_534,user
user_850,user
user_1103,user
user_2080,user
user_5,user
user_228,user
user_725,user
user_1271,user
user_1310,user
user_1481,user
user_1785,user
user_6,user
user_149,user
user_1697,user
user_1761,user
user_7,user
user_46,user
user_232,user
user_390,user
user_545,user
user_815,user
user_873,user
user_1002,user
user_1135,user
user_1184,user
user_1308,user
user_1453,user
user_1466,user
user_1649,user
user_1666,user
user_1734,user
user_2020,user
user_2037,user
user_2061,user
user_8,user
user_339,user
user_370,user
user_419,user
user_749,user
user_1017,user
user_1178,user
user_1515,user
user_1568,user
user_1811,user
user_1813,user
user_9,user
user_743,user
user_1956,user
user_10,user
user_1196,user
user_1498,user
user_1530,user
user_1562,user
user_1986,user
user_11,user
user_12,user
user_25,user
user_129,user
user_136,user
user_145,user
user_230,user
user_278,user
user_405,user
user_684,user
user_795,user
user_804,user
user_816,user
user_859,user
user_984,user
user_1132,user
user_1136,user
user_1179,user
user_1189,user
user_1475,user
user_1577,user
user_1684,user
user_1766,user
user_1780,user
user_1828,user
user_2004,user
user_2021,user
user_127,user
user_133,user
user_146,user
user_236,user
user_240,user
user_258,user
user_400,user
user_593,user
user_730,user
user_797,user
user_861,user
user_930,user
user_941,user
user_998,user
user_1023,user
user_1056,user
user_1088,user
user_1145,user
user_1146,user
user_1253,user
user_1272,user
user_1346,user
user_1348,user
user_1368,user
user_1455,user
user_1628,user
user_1636,user
user_1709,user
user_1726,user
user_1776,user
user_1820,user
user_1895,user
user_13,user
user_481,user
user_732,user
user_1659,user
user_2041,user
user_14,user
user_608,user
user_642,user
user_754,user
user_1258,user
user_1357,user
user_1554,user
user_1702,user
user_15,user
user_122,user
user_143,user
user_237,user
user_266,user
user_416,user
user_454,user
user_771,user
user_1243,user
user_1281,user
user_1383,user
user_1556,user
user_1662,user
user_1805,user
user_1879,user
user_1993,user
user_2025,user
user_2036,user
user_16,user
user_252,user
user_437,user
user_701,user
user_726,user
user_790,user
user_1226,user
user_1263,user
user_1503,user
user_1567,user
